Format Version,1.23,Take Name,Take 2026-01-12 01.56.14 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-12 01.56.15.167 ,Total Frames in Take,360,Total Exported Frames,360,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001
,ID,"C3510","C3510","C3510","C3520","C3520","C3520"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
171,1.425000,0.886005,0.307347,1.881706,0.316397,-0.137508,1.548609
172,1.433333,0.880624,0.314523,1.883695,0.316370,-0.137487,1.548492
173,1.441667,0.874477,0.321106,1.885857,0.316371,-0.137488,1.548479
174,1.450000,0.867449,0.326962,1.887836,0.316377,-0.137509,1.548530
175,1.458333,0.860499,0.332454,1.890935,0.316404,-0.137526,1.548616
176,1.466667,0.852959,0.337041,1.893915,0.316395,-0.137482,1.548470
177,1.475000,0.845000,0.340875,1.896764,0.316397,-0.137485,1.548507
178,1.483333,0.836932,0.344191,1.900535,0.316418,-0.137527,1.548676
179,1.491667,0.828475,0.346712,1.904151,0.316409,-0.137489,1.548509
180,1.500000,0.819827,0.348581,1.908063,0.316413,-0.137491,1.548556
181,1.508333,0.810616,0.349640,1.911330,0.316427,-0.137515,1.548669
182,1.516667,0.801390,0.350082,1.914824,0.316445,-0.137510,1.548730
183,1.525000,0.792317,0.349922,1.918561,0.316396,-0.137491,1.548514
184,1.533333,0.783434,0.349190,1.922897,0.316401,-0.137505,1.548603
185,1.541667,0.774194,0.347629,1.925930,0.316380,-0.137505,1.548576
186,1.550000,0.765502,0.345768,1.929951,0.316402,-0.137513,1.548656
187,1.558333,0.756851,0.343431,1.933538,0.316372,-0.137508,1.548559
188,1.566667,0.748331,0.340702,1.937059,0.316374,-0.137510,1.548568
189,1.575000,0.740352,0.337723,1.941295,0.316403,-0.137517,1.548714
190,1.583333,0.732309,0.334188,1.944311,0.316356,-0.137504,1.548542
191,1.591667,0.724919,0.330439,1.948020,0.316391,-0.137488,1.548596
192,1.600000,0.717710,0.326371,1.950518,0.316383,-0.137507,1.548607
193,1.608333,0.711181,0.322207,1.953313,0.316377,-0.137507,1.548571
194,1.616667,0.705312,0.317965,1.956003,0.316394,-0.137505,1.548602
195,1.625000,0.699975,0.313763,1.958370,0.316394,-0.137513,1.548625
196,1.633333,0.695229,0.309581,1.960407,0.316394,-0.137485,1.548536
197,1.641667,0.690977,0.305456,1.961765,0.316397,-0.137508,1.548589
198,1.650000,0.687513,0.301632,1.963281,0.316411,-0.137512,1.548625
199,1.658333,0.684670,0.298276,1.964528,0.316379,-0.137490,1.548445
200,1.666667,0.682518,0.295378,1.965590,0.316411,-0.137493,1.548576
201,1.675000,0.680901,0.292907,1.965865,0.316418,-0.137518,1.548673
202,1.683333,0.679841,0.290864,1.965361,0.316405,-0.137511,1.548638
203,1.691667,0.679726,0.289579,1.965037,0.316385,-0.137511,1.548567
204,1.700000,0.680314,0.289139,1.964306,0.316403,-0.137512,1.548619
205,1.708333,0.681646,0.289502,1.962587,0.316397,-0.137489,1.548559
206,1.716667,0.684137,0.290913,1.961323,0.316410,-0.137504,1.548649
207,1.725000,0.687201,0.293208,1.958653,0.316383,-0.137502,1.548523
208,1.733333,0.691465,0.296475,1.956717,0.316398,-0.137515,1.548599
209,1.741667,0.696382,0.300235,1.953910,0.316380,-0.137510,1.548571
210,1.750000,0.701963,0.304459,1.950767,0.316400,-0.137493,1.548550
211,1.758333,0.708368,0.308923,1.947793,0.316399,-0.137496,1.548531
212,1.766667,0.715512,0.313587,1.945217,0.316410,-0.137514,1.548674
213,1.775000,0.722745,0.318106,1.941509,0.316412,-0.137493,1.548547
214,1.783333,0.730854,0.322602,1.938724,0.316381,-0.137510,1.548525
215,1.791667,0.739181,0.326904,1.935377,0.316425,-0.137510,1.548678
216,1.800000,0.747651,0.330763,1.931328,0.316407,-0.137513,1.548626
217,1.808333,0.756607,0.334445,1.927839,0.316405,-0.137507,1.548622
218,1.816667,0.765889,0.337844,1.924623,0.316386,-0.137509,1.548561
219,1.825000,0.775392,0.340909,1.921443,0.316404,-0.137491,1.548556
220,1.833333,0.785156,0.343698,1.918493,0.316384,-0.137508,1.548574
